,molecule_chembl_id,IC50,units,smiles,pIC50
143,CHEMBL3675427,0.34,nM,CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2F)c1,9.468521082957745
144,CHEMBL3675510,0.35,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4=CC(F)C(Cl)C=C4)c3)ncnc12,9.455931955649724
145,CHEMBL3675499,0.35,nM,Cc1ncc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)s1,9.455931955649724
146,CHEMBL3680442,0.36,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cccn2C)c1,9.443697499232712
147,CHEMBL3680560,0.37,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc5cc(Cl)ccc5[nH]4)c3)ncnc12,9.431798275933005
148,CHEMBL3680447,0.37,nM,CCN(CC)c1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.431798275933005
149,CHEMBL3685259,0.37,nM,COc1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.431798275933005
150,CHEMBL3680520,0.37,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)c(F)c2)c1,9.431798275933005
151,CHEMBL3675353,0.37,nM,NC(=O)c1cccc2c(NCc3ccc4c(c3)OCO4)ncnc12,9.431798275933005
152,CHEMBL3639792,0.38,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,9.42021640338319
153,CHEMBL3680466,0.38,nM,CC(NC1=NC=NC2C(C(N)=O)=CCC=C12)c1cccc(NC(=O)c2ccc(N3CCOCC3)cc2)c1,9.42021640338319
154,CHEMBL3675470,0.38,nM,Cc1cc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)ccc1Cl,9.42021640338319
155,CHEMBL3685282,0.39,nM,NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(=O)c4cc(C(F)(F)F)ccc4F)c3)ncnc12,9.4089353929735
156,CHEMBL3670474,0.39,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(SC(F)(F)F)cc4)c3)ncnc12,9.4089353929735
157,CHEMBL3675475,0.39,nM,COCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,9.4089353929735
158,CHEMBL3685234,0.39,nM,Cc1ccnc(Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)c1,9.4089353929735
159,CHEMBL3966216,0.39,nM,O=c1[nH]nc([C@]2(Cc3cccc(Nc4cc[nH]n4)n3)CC[C@@H](Oc3cccc(Cl)c3F)CC2)o1,9.4089353929735
